Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Floral Embroidered Sequined Georgette Fit And Flare Ethnic Dress,Fashion Basket,1581,0.0,0.0,1581.0,Maxi,0,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/fashion+basket/fashion-basket-floral-embroidered-sequined-georgette-fit-and-flare-ethnic-dress/33703783/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Fit & Flared Ethnic Dress,Neemiya,676,0.0,13.0,676.0,Midi,Mandarin Collar,0,0,0,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/neemiya/neemiya-floral-printed-fit--flared-ethnic-dress/36176072/buy,Traditional,Traditional,Medium,5,Low,3
Floral Printed Maxi Ethnic Dress,ASPORA,1598,0.0,39.0,1598.0,Maxi,V-Neck,0,0,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/aspora/aspora-floral-printed-maxi-ethnic-dress/30484643/buy,Traditional,Traditional,High,5,Low,3
Women Floral Printed Anarkali Ethnic Dress,NANERA,434,0.0,0.0,434.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,0,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649661/buy,Traditional,Traditional,Low,1,Low,3
Floral Printed Round Neck Gotta Patti Fit and Flare Maternity Ethnic Dress,MURLI KURTI,495,0.0,2100.0,495.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gotta-patti-fit-and-flare-maternity-ethnic-dress/30742596/buy,Traditional,Traditional,Low,5,Low,3
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,0.0,0.0,18558.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625267/buy,Party Wear,Traditional,High,1,Low,3
Floral Printed Maternity Anarkali Kurta,RANGEELO JAIPUR,455,0.0,40.0,455.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rangeelo+jaipur/rangeelo-jaipur-floral-printed-maternity-anarkali-kurta/35236566/buy,Casual,Traditional,Low,4,Low,3
Black Floral Embroidered Ethnic Maxi Dress,Cherry & Jerry,1624,0.0,62.0,1624.0,Maxi,Shoulder Straps,0,Regular Sleeves,Maxi,10-11Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/cherry+%26+jerry/cherry--jerry-black-floral-embroidered-ethnic-maxi-dress/20992358/buy,Party Wear,Traditional,High,1,Low,3
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,1022,0.0,0.0,1022.0,Midi,V-Neck,Short Sleeves,0,0,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635230/buy,Traditional,Traditional,High,6,Low,3
Sanganeri Folk Floral Printed Pure Cotton Ethnic Dress,Taavi,1189,0.0,54.0,1189.0,Above Knee,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS
Rs. 1049, S
Rs. 1189, M
Rs. 1189, L
Rs. 1189, XL
Rs. 1189, XXL
Rs. 1189",3,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-sanganeri-folk-floral-printed-pure-cotton-ethnic-dress/30964940/buy,Traditional,Traditional,High,6,Low,3
Navy Blue Floral Ethnic Midi Dress,Vishudh,437,0.0,1200.0,437.0,Midi,Mandarin Collar,0,Regular Sleeves,0,"XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-navy-blue-floral-ethnic-midi-dress/17445628/buy,Traditional,Traditional,Low,2,Low,3
Women Ethnic Motifs Floral Anarkali Ethnic Dress,Stylee LIFESTYLE,4328,0.0,0.0,4328.0,Maxi,0,0,Regular Sleeves,0,XXL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/stylee+lifestyle/stylee-lifestyle-women-ethnic-motifs-floral-anarkali-ethnic-dress/39986001/buy,Traditional,Traditional,High,1,Low,3
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,499,0.0,205.0,499.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742453/buy,Traditional,Traditional,Low,4,Low,3
Women Yellow Floral Printed Floral Anarkali Ethnic Dress,Soch,1999,0.0,18.0,1999.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"XS, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/soch/soch-women-yellow-floral-printed-floral-anarkali-ethnic-dress/19169110/buy,Traditional,Traditional,High,2,Low,3
women pink Floral Ethnic Maxi Dress,PIROH,1830,0.0,19.0,1830.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/piroh/piroh-women-pink-floral-ethnic-maxi-dress/18942918/buy,Traditional,Traditional,High,1,Low,3
Floral Printed Tiered Dress,anayna,1399,0.0,10100.0,1399.0,Maxi,V-Neck,0,0,0,"XS, S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-tiered-dress/39993324/buy,Casual,Casual,High,7,Low,0
Women Floral Embellished Green Ethnic Dress,Adwitiya,4163,0.0,0.0,4163.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/adwitiya/adwitiya-women-floral-embellished-green-ethnic-dress/30866410/buy,Traditional,Traditional,High,2,Low,3
Blue Floral Ethnic Shirt Dress,Cloth Haus India,2879,0.0,0.0,2879.0,Midi,0,0,Regular Sleeves,0,"S
Rs. 3800, M
Rs. 2879, L
Rs. 2879",4,No,Schiffli,https://www.myntra.com/ethnic-dresses/cloth+haus+india/cloth-haus-india-blue-floral-ethnic-shirt-dress/20910928/buy,Traditional,Traditional,High,3,Low,3
Women Blue & White Pure Cotton Floral Print Maxi Dress,Divena,894,0.0,972.0,894.0,Maxi,Shoulder Straps,0,0,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-women-blue--white-pure-cotton-floral-print-maxi-dress/14101554/buy,Casual,Party Wear,Medium,11,Low,1
Floral Printed Pure Cotton Fit & Flare Ethnic Dress,Rain & Rainbow,1360,0.0,3100.0,1360.0,Midi,Halter Neck,0,0,0,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-ethnic-dress/30557109/buy,Traditional,Traditional,High,5,Low,3
Women Silk Maroon Floral Embroidered Ethnic Dress,Sangria,1396,0.0,129.0,1396.0,Maxi,Round Neck,Three-Quarter Sleeves,0,0,"S, M, L, XL",3,No,"Polyester, Poly Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-silk-maroon-floral-embroidered-ethnic-dress/36880461/buy,Party Wear,Traditional,High,4,Low,3
Floral Printed Embroidered Gown Ethnic Dress,Rujave,882,0.0,9.0,882.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rujave/rujave-floral-printed-embroidered-gown-ethnic-dress/32013248/buy,Party Wear,Traditional,Medium,7,Low,3
Floral Printed Ethnic Dress,Krunal Raiyani,798,0.0,0.0,798.0,Maxi,Round Neck,0,Regular Sleeves,0,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218697/buy,Traditional,Traditional,Medium,5,Low,3
Girl Floral Embroidered Maxi Ethnic Dress,Inddus,1799,0.0,8.0,1799.0,Maxi,Round Neck,0,0,Maxi,"12Y, 14Y",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girl-floral-embroidered-maxi-ethnic-dress/38623930/buy,Party Wear,Traditional,High,2,Low,3
Bandhani Floral Printed Fit & Flare Ethnic Dress,Chandbaali,1362,0.0,29.0,1362.0,Maxi,Round Neck,0,0,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-bandhani-floral-printed-fit--flare-ethnic-dress/33063357/buy,Traditional,Traditional,High,5,Low,3
Floral Printed Cotton Fit & Flare Ethnic Dress,Anouk,596,0.0,34.0,596.0,Midi,Round Neck,Three-Quarter Sleeves,0,0,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-printed-cotton-fit--flare-ethnic-dress/30742988/buy,Traditional,Traditional,Medium,5,Low,3
Pink Floral Jacquard Ethnic Maxi Dress,White World,4898,0.0,31.0,4898.0,Maxi,Round Neck,0,0,Maxi,7-8Y,4,No,Silk,https://www.myntra.com/ethnic-dresses/white+world/white-world-pink-floral-jacquard-ethnic-maxi-dress/18330258/buy,Party Wear,Traditional,High,1,Low,3
Floral Embroidered Notch Neck Georgette Ethnic Dresses,Shae by SASSAFRAS,1349,0.0,246.0,1349.0,Maxi,Round Neck,0,Regular Sleeves,0,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-embroidered-notch-neck-georgette-ethnic-dresses/32741851/buy,Party Wear,Traditional,High,5,Low,3
Blue Floral Printed Cotton Midi Fit & Flared Dress,GLAM ROOTS,675,0.0,64.0,675.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/glam+roots/glam-roots-blue-floral-printed-cotton-midi-fit--flared-dress/17264432/buy,Casual,Casual,Medium,6,Low,0
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,12477,0.0,0.0,12477.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625272/buy,Party Wear,Traditional,High,1,Low,3
Floral Print Shoulder Straps Ethnic Dress,Anouk,593,0.0,44.0,593.0,Midi,V-Neck,0,0,0,"XS, S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-print-shoulder-straps-ethnic-dress/32467219/buy,Traditional,Traditional,Medium,6,Low,3
Floral Printed Round Neck Tiered Fit & Flare Midi Ethnic Dress,A&K,998,0.0,110.0,998.0,Midi,Shoulder Straps,0,0,0,"S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/a%26k/ak-floral-printed-round-neck-tiered-fit--flare-midi-ethnic-dress/32854575/buy,Traditional,Traditional,Medium,5,Low,3
Yellow Floral Embroidered Ethnic Maxi Dress,Sangria,818,0.0,56.0,818.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-yellow-floral-embroidered-ethnic-maxi-dress/19016912/buy,Party Wear,Traditional,Medium,3,Low,3
Floral Printed Fit & Flare Midi Ethnic Dresses,Inddus,1670,0.0,0.0,1670.0,Midi,Shoulder Straps,0,0,0,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-printed-fit--flare-midi-ethnic-dresses/41284917/buy,Traditional,Traditional,High,6,Low,3
Pink Floral Printed Maxi Ethnic Dress,Vishudh,989,0.0,220.0,989.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-pink-floral-printed-maxi-ethnic-dress/24585342/buy,Traditional,Traditional,Medium,1,Low,3
Plus Size Floral Printed Fit & Flare Maxi Ethnic Dress,A PLUS BY AHALYAA,1509,0.0,146.0,1509.0,Maxi,Round Neck,0,0,Maxi,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-printed-fit--flare-maxi-ethnic-dress/28392950/buy,Party Wear,Traditional,High,5,Low,3
Floral Georgette Anarkali Ethnic Dress,KALINI,1510,0.0,5.0,1510.0,Maxi,Round Neck,0,Regular Sleeves,0,XL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-georgette-anarkali-ethnic-dress-/25536252/buy,Traditional,Traditional,High,1,Low,3
Floral Embroidered Gathered Sequinned Bell Sleeves Maxi Ethnic Dress,MADHURAM,1537,0.0,474.0,1537.0,Maxi,0,Three-Quarter Sleeves,0,Maxi,"S, L, XL, XXL, 3XL, 4XL",3,No,Satin,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-embroidered-gathered-sequinned-bell-sleeves-maxi-ethnic-dress/25100514/buy,Party Wear,Traditional,High,6,Low,3
Floral Print Cotton A-Line Midi Ethnic Dress,Sangria,949,0.0,61.0,949.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,0,"XS, S, M, L",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-midi-ethnic-dress/32330179/buy,Traditional,Traditional,Medium,4,Low,3
Floral Print Maxi Ethnic Dress,SUKRUTI DESIGN,4698,0.0,0.0,4698.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XL, XXL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sukruti+design/sukruti-design-floral-print-maxi-ethnic-dress/30046692/buy,Party Wear,Traditional,High,2,Low,3
Green & Red Floral Satin Ethnic Maxi Dress,WISHFUL,2880,0.0,17.0,2880.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,XS,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/wishful/wishful-green--red-floral-satin-ethnic-maxi-dress/19822910/buy,Traditional,Traditional,High,1,Low,3
Floral Embroidered Sequinned Georgette Fit & Flare Maxi Dress,KALINI,1359,0.0,100.0,1359.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S
Rs. 1359, M
Rs. 1359, L
Rs. 1525, XL
Rs. 1525, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-sequinned-georgette-fit--flare-maxi-dress/31240672/buy,Party Wear,Traditional,High,5,Low,3
Women Blue Floral Printed Ethnic Maxi Dress,AURELIA,1740,0.0,119.0,1740.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/aurelia/aurelia-women-blue-floral-printed-ethnic-maxi-dress/20561812/buy,Traditional,Traditional,High,4,Low,3
Relaxed Fit Floral Printed A-Line Pure Cotton Midi Dress,BLACK & BLAH BLAH,807,0.0,1100.0,807.0,Knee Length,V-Neck,Short Sleeves,0,A-Line,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/black+%26+blah+blah/black--blah-blah-relaxed-fit-floral-printed-a-line-pure-cotton-midi-dress/27950164/buy,Casual,Casual,Medium,5,Low,0
Floral Embroidered Midi Ethnic Dress,Vorcia Febtex,382,0.0,25.0,382.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vorcia+febtex/vorcia-febtex-floral-embroidered-midi-ethnic-dress/32706437/buy,Party Wear,Traditional,Low,3,Low,3
Women Floral Zari and Sequinned Embroidered Maxi Ethnic Dress,Sangria,1751,0.0,204.0,1751.0,Maxi,V-Neck,Short Sleeves,0,0,"XS, S, M, L, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-maxi-ethnic-dress/30931374/buy,Party Wear,Traditional,High,5,Low,3
Anayna Floral Printed Fit & Flare Ethnic Midi Dress,anayna,1304,0.0,230.0,1304.0,Midi,Square Neck,0,0,0,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-fit--flare-ethnic-midi-dress/32630291/buy,Traditional,Traditional,High,7,Low,3
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,1055,0.0,7.0,1055.0,Midi,V-Neck,Short Sleeves,0,0,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635231/buy,Traditional,Traditional,High,6,Low,3
Floral Printed Gotta Patti Angrakha Maxi Ethnic Dress,Shae by SASSAFRAS,1439,0.0,1100.0,1439.0,Maxi,0,Three-Quarter Sleeves,Regular Sleeves,0,"XS, S, M, L, XL, XXL",3,No,Satin,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-gotta-patti-angrakha-maxi-ethnic-dress/25052824/buy,Traditional,Traditional,High,6,Low,3
Flared Floral Printed Pleated Ethnic Dress,Sangria,1899,0.0,7.0,1899.0,Maxi,Keyhole Neck,0,Regular Sleeves,0,"S, M",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-flared-floral-printed-pleated-ethnic-dress/33593445/buy,Traditional,Traditional,High,2,Low,3
