Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Floral Embroidered Thread Work Georgette Fit and Flare Ethnic Dress,KALINI,1359,0.0,486.0,1359.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-thread-work-georgette-fit-and-flare-ethnic-dress/31209059/buy,Party Wear,Traditional,High,5,Low,3
Festive Floral Printed Ethnic Dress,Taavi,1273,0.0,22.0,1273.0,Midi,V-Neck,0,0,A-Line,"XS, S, M, L",3,No,"Cotton, Viscose Rayon",https://www.myntra.com/ethnic-dresses/taavi/taavi-festive-floral-printed-ethnic-dress/30093887/buy,Traditional,Traditional,High,4,Low,3
Women Plus Size Floral Printed Maxi Ethnic Dress,Souchii,2799,0.0,0.0,2799.0,Maxi,0,0,0,Maxi,"XXL, 3XL",4,No,Chiffon,https://www.myntra.com/ethnic-dresses/souchii/souchii-women-plus-size-floral-printed-maxi-ethnic-dress/30843664/buy,Traditional,Traditional,High,2,Low,3
Women Floral Printed Flared Midi Dress,anayna,1399,0.0,960.0,1399.0,Midi,0,0,0,0,"XS, S, M, L, XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-flared-midi-dress/31742105/buy,Casual,Semi-Formal,High,7,Low,2
Floral Printed Ethnic Dress,Krunal Raiyani,798,0.0,0.0,798.0,Maxi,Round Neck,0,Regular Sleeves,0,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218698/buy,Traditional,Traditional,Medium,5,Low,3
Purple Floral Ethnic Maxi Dress,Ethnovog,2060,0.0,0.0,2060.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XS,4,No,Nylon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-purple-floral-ethnic-maxi-dress/19791570/buy,Traditional,Traditional,High,1,Low,3
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,10957,0.0,0.0,10957.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta/33625268/buy,Party Wear,Traditional,High,1,Low,3
Floral Printed Maxi Ethnic Dress,AKS Couture,1884,0.0,25.0,1884.0,Maxi,Shoulder Straps,0,0,Maxi,XXL,4,No,Cotton,https://www.myntra.com/ethnic-dresses/aks+couture/aks-couture-floral-printed-maxi-ethnic-dress/24487128/buy,Traditional,Traditional,High,1,Low,3
Dabu Floral Printed Cotton Linen Midi Shirt Ethnic Dresses,Taavi,1084,0.0,30.0,1084.0,Midi,Shirt Collar,0,Regular Sleeves,0,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-dabu-floral-printed-cotton-linen-midi-shirt-ethnic-dresses/37948499/buy,Traditional,Traditional,High,5,Low,3
Floral Printed Floral Ethnic Dress,Stylum,599,0.0,12.0,599.0,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/stylum/stylum-floral-printed-floral-ethnic-dress/21645000/buy,Traditional,Traditional,Medium,4,Low,3
