Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Floral Printed V-Neck A-Line Midi Ethnic Dress,Anni Designer,767,3 | 7 Ratings,7 Ratings,767,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anni+designer/anni-designer-floral-printed-v-neck-a-line-midi-ethnic-dress/29972588/buy,Traditional,3,7,5,0,153.4,3,High (4)
Floral Printed Anarkali Ethnic Dress & Dupatta,VASTRAMAY,1349,,,1349,Maxi,Shoulder Straps,,,,2-3Y,4,No,Cotton,https://www.myntra.com/ethnic-dresses/vastramay/vastramay-floral-printed-anarkali-ethnic-dress--dupatta/24099124/buy,Traditional,,,1,0,1349,,High (4)
Floral Yoke Design Thread Work Anarkali Dresses,DMP FASHION,497,3.9 | 8 Ratings,8 Ratings,497,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/dmp+fashion/dmp-fashion-floral-yoke-design-thread-work-anarkali-dresses/33342638/buy,Seasonal Wear,3.9,8,6,0,82.83333333,3.9,High (4)
Floral Embroidered Thread Work Georgette Fit and Flare Ethnic Dress,KALINI,1359,4.2 | 486 Ratings,486 Ratings,1359,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-thread-work-georgette-fit-and-flare-ethnic-dress/31209059/buy,Party Wear,4.2,486,5,0,271.8,4.2,Medium (3)
Festive Floral Printed Ethnic Dress,Taavi,1273,4.5 | 22 Ratings,22 Ratings,1273,Midi,V-Neck,,,A-Line,"XS, S, M, L",3,No,"Cotton, Viscose Rayon",https://www.myntra.com/ethnic-dresses/taavi/taavi-festive-floral-printed-ethnic-dress/30093887/buy,Traditional,4.5,22,4,0,318.25,4.5,Medium (3)
Women Plus Size Floral Printed Maxi Ethnic Dress,Souchii,2799,,,2799,Maxi,,,,Maxi,"XXL, 3XL",4,No,Chiffon,https://www.myntra.com/ethnic-dresses/souchii/souchii-women-plus-size-floral-printed-maxi-ethnic-dress/30843664/buy,Traditional,,,2,0,1399.5,,High (4)
Women Floral Printed Flared Midi Dress,anayna,1399,4.6 | 960 Ratings,960 Ratings,1399,Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-flared-midi-dress/31742105/buy,Casual,4.6,960,7,0,199.8571429,4.6,High (4)
Floral Printed Ethnic Dress,Krunal Raiyani,798,,,798,Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218698/buy,Traditional,,,5,0,159.6,,High (4)
Purple Floral Ethnic Maxi Dress,Ethnovog,2060,,,2060,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XS,4,No,Nylon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-purple-floral-ethnic-maxi-dress/19791570/buy,Traditional,,,1,0,2060,,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,10957,,,10957,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta/33625268/buy,Party Wear,,,1,0,10957,,High (4)
