Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Green Floral Print Ethnic Maxi Dress,Ethnovog,6254,,,6254,Maxi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, L, XL, XXL",4,No,Silk,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-green-floral-print-ethnic-maxi-dress/22408852/buy,Party Wear,,,4,0,1563.5,,High (4)
Muslin Floral Printed Anarkali Ethnic Dress & Dupatta,VASTRAMAY,1349,4.1 | 62 Ratings,62 Ratings,1349,Maxi,V-Neck,,,Maxi,"4-5Y, 5-6Y, 7-8Y",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vastramay/vastramay-muslin-floral-printed-anarkali-ethnic-dress--dupatta/22080248/buy,Traditional,4.1,62,3,0,449.6666667,4.1,High (4)
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,497,4.1 | 2.1k Ratings,2.1k Ratings,497,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742836/buy,Traditional,4.1,2100,6,0,82.83333333,4.1,Medium (3)
Women Maternity Plus Size Floral Printed Flared Cotton Ethnic Dress,Vaidiki,580,4.8 | 12 Ratings,12 Ratings,580,Maxi,Round Neck,,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-cotton-ethnic-dress/34431774/buy,Traditional,4.8,12,4,0,145,4.8,High (4)
Women Ethnic Motifs Floral Anarkali Ethnic Dress,Stylee LIFESTYLE,4391,,,4391,Maxi,Round Neck,,Regular Sleeves,,XXL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/stylee+lifestyle/stylee-lifestyle-women-ethnic-motifs-floral-anarkali-ethnic-dress/39986002/buy,Traditional,,,1,0,4391,,High (4)
Floral Embroidered Sequined Georgette Fit And Flare Ethnic Dress,Fashion Basket,1581,,,1581,Maxi,,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/fashion+basket/fashion-basket-floral-embroidered-sequined-georgette-fit-and-flare-ethnic-dress/33703783/buy,Party Wear,,,5,0,316.2,,High (4)
Floral Printed Fit & Flared Ethnic Dress,Neemiya,676,4.3 | 13 Ratings,13 Ratings,676,Midi,Mandarin Collar,,,,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/neemiya/neemiya-floral-printed-fit--flared-ethnic-dress/36176072/buy,Traditional,4.3,13,5,0,135.2,4.3,High (4)
Floral Printed Maxi Ethnic Dress,ASPORA,1598,4.2 | 39 Ratings,39 Ratings,1598,Maxi,V-Neck,,,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/aspora/aspora-floral-printed-maxi-ethnic-dress/30484643/buy,Traditional,4.2,39,5,0,319.6,4.2,Medium (3)
Women Floral Printed Anarkali Ethnic Dress,NANERA,434,,,434,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649661/buy,Traditional,,,1,0,434,,High (4)
Floral Printed Round Neck Gotta Patti Fit and Flare Maternity Ethnic Dress,MURLI KURTI,495,4.1 | 2.1k Ratings,2.1k Ratings,495,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gotta-patti-fit-and-flare-maternity-ethnic-dress/30742596/buy,Traditional,4.1,2100,5,0,99,4.1,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,,,18558,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625267/buy,Party Wear,,,1,0,18558,,High (4)
Floral Printed Maternity Anarkali Kurta,RANGEELO JAIPUR,455,3.8 | 40 Ratings,40 Ratings,455,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rangeelo+jaipur/rangeelo-jaipur-floral-printed-maternity-anarkali-kurta/35236566/buy,Casual,3.8,40,4,0,113.75,3.8,High (4)
Black Floral Embroidered Ethnic Maxi Dress,Cherry & Jerry,1624,4.2 | 62 Ratings,62 Ratings,1624,Maxi,Shoulder Straps,,Regular Sleeves,Maxi,10-11Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/cherry+%26+jerry/cherry--jerry-black-floral-embroidered-ethnic-maxi-dress/20992358/buy,Party Wear,4.2,62,1,0,1624,4.2,High (4)
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,1022,,,1022,Midi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635230/buy,Traditional,,,6,0,170.3333333,,High (4)
Sanganeri Folk Floral Printed Pure Cotton Ethnic Dress,Taavi,1189,4.3 | 54 Ratings,54 Ratings,1189,Above Knee,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS
Rs. 1049, S
Rs. 1189, M
Rs. 1189, L
Rs. 1189, XL
Rs. 1189, XXL
Rs. 1189",3,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-sanganeri-folk-floral-printed-pure-cotton-ethnic-dress/30964940/buy,Traditional,4.3,54,6,0,198.1666667,4.3,Medium (3)
Navy Blue Floral Ethnic Midi Dress,Vishudh,437,4.4 | 1.2k Ratings,1.2k Ratings,437,Midi,Mandarin Collar,,Regular Sleeves,,"XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-navy-blue-floral-ethnic-midi-dress/17445628/buy,Traditional,4.4,1200,2,0,218.5,4.4,High (4)
Women Ethnic Motifs Floral Anarkali Ethnic Dress,Stylee LIFESTYLE,4328,,,4328,Maxi,,,Regular Sleeves,,XXL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/stylee+lifestyle/stylee-lifestyle-women-ethnic-motifs-floral-anarkali-ethnic-dress/39986001/buy,Traditional,,,1,0,4328,,High (4)
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,499,4.1 | 205 Ratings,205 Ratings,499,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742453/buy,Traditional,4.1,205,4,0,124.75,4.1,Medium (3)
Women Yellow Floral Printed Floral Anarkali Ethnic Dress,Soch,1999,4.2 | 18 Ratings,18 Ratings,1999,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/soch/soch-women-yellow-floral-printed-floral-anarkali-ethnic-dress/19169110/buy,Traditional,4.2,18,2,0,999.5,4.2,High (4)
women pink Floral Ethnic Maxi Dress,PIROH,1830,4.4 | 19 Ratings,19 Ratings,1830,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/piroh/piroh-women-pink-floral-ethnic-maxi-dress/18942918/buy,Traditional,4.4,19,1,0,1830,4.4,High (4)
Floral Printed Tiered Dress,anayna,1399,4.5 | 10.1k Ratings,10.1k Ratings,1399,Maxi,V-Neck,,,,"XS, S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-tiered-dress/39993324/buy,Casual,4.5,10100,7,0,199.8571429,4.5,High (4)
Women Floral Embellished Green Ethnic Dress,Adwitiya,4163,,,4163,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/adwitiya/adwitiya-women-floral-embellished-green-ethnic-dress/30866410/buy,Traditional,,,2,0,2081.5,,High (4)
Blue Floral Ethnic Shirt Dress,Cloth Haus India,2879,,,2879,Midi,,,Regular Sleeves,,"S
Rs. 3800, M
Rs. 2879, L
Rs. 2879",4,No,Schiffli,https://www.myntra.com/ethnic-dresses/cloth+haus+india/cloth-haus-india-blue-floral-ethnic-shirt-dress/20910928/buy,Traditional,,,3,0,959.6666667,,High (4)
Women Blue & White Pure Cotton Floral Print Maxi Dress,Divena,894,4.3 | 972 Ratings,972 Ratings,894,Maxi,Shoulder Straps,,,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-women-blue--white-pure-cotton-floral-print-maxi-dress/14101554/buy,Casual,4.3,972,11,0,81.27272727,4.3,Medium (3)
Floral Printed Pure Cotton Fit & Flare Ethnic Dress,Rain & Rainbow,1360,4.5 | 3.1k Ratings,3.1k Ratings,1360,Midi,Halter Neck,,,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-ethnic-dress/30557109/buy,Traditional,4.5,3100,5,0,272,4.5,Medium (3)
Women Silk Maroon Floral Embroidered Ethnic Dress,Sangria,1396,4.3 | 129 Ratings,129 Ratings,1396,Maxi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL",3,No,"Polyester, Poly Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-silk-maroon-floral-embroidered-ethnic-dress/36880461/buy,Party Wear,4.3,129,4,0,349,4.3,Medium (3)
Floral Printed Embroidered Gown Ethnic Dress,Rujave,882,2.1 | 9 Ratings,9 Ratings,882,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rujave/rujave-floral-printed-embroidered-gown-ethnic-dress/32013248/buy,Party Wear,2.1,9,7,0,126,2.1,High (4)
Floral Printed Ethnic Dress,Krunal Raiyani,798,,,798,Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218697/buy,Traditional,,,5,0,159.6,,High (4)
Girl Floral Embroidered Maxi Ethnic Dress,Inddus,1799,4.4 | 8 Ratings,8 Ratings,1799,Maxi,Round Neck,,,Maxi,"12Y, 14Y",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girl-floral-embroidered-maxi-ethnic-dress/38623930/buy,Party Wear,4.4,8,2,0,899.5,4.4,High (4)
Bandhani Floral Printed Fit & Flare Ethnic Dress,Chandbaali,1362,3.8 | 29 Ratings,29 Ratings,1362,Maxi,Round Neck,,,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-bandhani-floral-printed-fit--flare-ethnic-dress/33063357/buy,Traditional,3.8,29,5,0,272.4,3.8,High (4)
Floral Printed Cotton Fit & Flare Ethnic Dress,Anouk,596,4 | 34 Ratings,34 Ratings,596,Midi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-printed-cotton-fit--flare-ethnic-dress/30742988/buy,Traditional,4,34,5,0,119.2,4,High (4)
Pink Floral Jacquard Ethnic Maxi Dress,White World,4898,3.9 | 31 Ratings,31 Ratings,4898,Maxi,Round Neck,,,Maxi,7-8Y,4,No,Silk,https://www.myntra.com/ethnic-dresses/white+world/white-world-pink-floral-jacquard-ethnic-maxi-dress/18330258/buy,Party Wear,3.9,31,1,0,4898,3.9,High (4)
Floral Embroidered Notch Neck Georgette Ethnic Dresses,Shae by SASSAFRAS,1349,4 | 246 Ratings,246 Ratings,1349,Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-embroidered-notch-neck-georgette-ethnic-dresses/32741851/buy,Party Wear,4,246,5,0,269.8,4,High (4)
Blue Floral Printed Cotton Midi Fit & Flared Dress,GLAM ROOTS,675,4.1 | 64 Ratings,64 Ratings,675,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/glam+roots/glam-roots-blue-floral-printed-cotton-midi-fit--flared-dress/17264432/buy,Casual,4.1,64,6,0,112.5,4.1,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,12477,,,12477,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625272/buy,Party Wear,,,1,0,12477,,High (4)
Floral Print Shoulder Straps Ethnic Dress,Anouk,593,4 | 44 Ratings,44 Ratings,593,Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-print-shoulder-straps-ethnic-dress/32467219/buy,Traditional,4,44,6,0,98.83333333,4,Medium (3)
Floral Printed Round Neck Tiered Fit & Flare Midi Ethnic Dress,A&K,998,4.4 | 110 Ratings,110 Ratings,998,Midi,Shoulder Straps,,,,"S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/a%26k/ak-floral-printed-round-neck-tiered-fit--flare-midi-ethnic-dress/32854575/buy,Traditional,4.4,110,5,0,199.6,4.4,Medium (3)
Yellow Floral Embroidered Ethnic Maxi Dress,Sangria,818,3.4 | 56 Ratings,56 Ratings,818,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-yellow-floral-embroidered-ethnic-maxi-dress/19016912/buy,Party Wear,3.4,56,3,0,272.6666667,3.4,High (4)
Floral Printed Fit & Flare Midi Ethnic Dresses,Inddus,1670,,,1670,Midi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-printed-fit--flare-midi-ethnic-dresses/41284917/buy,Traditional,,,6,0,278.3333333,,High (4)
Pink Floral Printed Maxi Ethnic Dress,Vishudh,989,4.2 | 220 Ratings,220 Ratings,989,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-pink-floral-printed-maxi-ethnic-dress/24585342/buy,Traditional,4.2,220,1,0,989,4.2,High (4)
Plus Size Floral Printed Fit & Flare Maxi Ethnic Dress,A PLUS BY AHALYAA,1509,4.2 | 146 Ratings,146 Ratings,1509,Maxi,Round Neck,,,Maxi,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-printed-fit--flare-maxi-ethnic-dress/28392950/buy,Party Wear,4.2,146,5,0,301.8,4.2,Medium (3)
Floral Georgette Anarkali Ethnic Dress,KALINI,1510,4 | 5 Ratings,5 Ratings,1510,Maxi,Round Neck,,Regular Sleeves,,XL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-georgette-anarkali-ethnic-dress-/25536252/buy,Traditional,4,5,1,0,1510,4,High (4)
Floral Embroidered Gathered Sequinned Bell Sleeves Maxi Ethnic Dress,MADHURAM,1537,4.5 | 474 Ratings,474 Ratings,1537,Maxi,,Three-Quarter Sleeves,,Maxi,"S, L, XL, XXL, 3XL, 4XL",3,No,Satin,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-embroidered-gathered-sequinned-bell-sleeves-maxi-ethnic-dress/25100514/buy,Party Wear,4.5,474,6,0,256.1666667,4.5,Medium (3)
Floral Print Cotton A-Line Midi Ethnic Dress,Sangria,949,4.3 | 61 Ratings,61 Ratings,949,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-midi-ethnic-dress/32330179/buy,Traditional,4.3,61,4,0,237.25,4.3,Medium (3)
Floral Print Maxi Ethnic Dress,SUKRUTI DESIGN,4698,,,4698,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XL, XXL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sukruti+design/sukruti-design-floral-print-maxi-ethnic-dress/30046692/buy,Party Wear,,,2,0,2349,,High (4)
Green & Red Floral Satin Ethnic Maxi Dress,WISHFUL,2880,4.1 | 17 Ratings,17 Ratings,2880,Maxi,Round Neck,,Regular Sleeves,Maxi,XS,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/wishful/wishful-green--red-floral-satin-ethnic-maxi-dress/19822910/buy,Traditional,4.1,17,1,0,2880,4.1,High (4)
Floral Embroidered Sequinned Georgette Fit & Flare Maxi Dress,KALINI,1359,4.3 | 100 Ratings,100 Ratings,1359,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S
Rs. 1359, M
Rs. 1359, L
Rs. 1525, XL
Rs. 1525, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-sequinned-georgette-fit--flare-maxi-dress/31240672/buy,Party Wear,4.3,100,5,0,271.8,4.3,Medium (3)
Women Blue Floral Printed Ethnic Maxi Dress,AURELIA,1740,4 | 119 Ratings,119 Ratings,1740,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/aurelia/aurelia-women-blue-floral-printed-ethnic-maxi-dress/20561812/buy,Traditional,4,119,4,0,435,4,High (4)
Relaxed Fit Floral Printed A-Line Pure Cotton Midi Dress,BLACK & BLAH BLAH,807,4 | 1.1k Ratings,1.1k Ratings,807,Knee Length,V-Neck,Short Sleeves,,A-Line,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/black+%26+blah+blah/black--blah-blah-relaxed-fit-floral-printed-a-line-pure-cotton-midi-dress/27950164/buy,Casual,4,1100,5,0,161.4,4,Medium (3)
Floral Embroidered Midi Ethnic Dress,Vorcia Febtex,382,3.9 | 25 Ratings,25 Ratings,382,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vorcia+febtex/vorcia-febtex-floral-embroidered-midi-ethnic-dress/32706437/buy,Party Wear,3.9,25,3,0,127.3333333,3.9,High (4)
Women Floral Zari and Sequinned Embroidered Maxi Ethnic Dress,Sangria,1751,4.2 | 204 Ratings,204 Ratings,1751,Maxi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-maxi-ethnic-dress/30931374/buy,Party Wear,4.2,204,5,0,350.2,4.2,High (4)
Anayna Floral Printed Fit & Flare Ethnic Midi Dress,anayna,1304,4.5 | 230 Ratings,230 Ratings,1304,Midi,Square Neck,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-fit--flare-ethnic-midi-dress/32630291/buy,Traditional,4.5,230,7,0,186.2857143,4.5,Medium (3)
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,1055,4 | 7 Ratings,7 Ratings,1055,Midi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635231/buy,Traditional,4,7,6,0,175.8333333,4,High (4)
Floral Printed Gotta Patti Angrakha Maxi Ethnic Dress,Shae by SASSAFRAS,1439,4.3 | 1.1k Ratings,1.1k Ratings,1439,Maxi,,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L, XL, XXL",3,No,Satin,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-gotta-patti-angrakha-maxi-ethnic-dress/25052824/buy,Traditional,4.3,1100,6,0,239.8333333,4.3,Medium (3)
Flared Floral Printed Pleated Ethnic Dress,Sangria,1899,4.4 | 7 Ratings,7 Ratings,1899,Maxi,Keyhole Neck,,Regular Sleeves,,"S, M",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-flared-floral-printed-pleated-ethnic-dress/33593445/buy,Traditional,4.4,7,2,0,949.5,4.4,High (4)
