Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Floral Printed Anarkali Ethnic Dress & Dupatta,VASTRAMAY,₹1349,,,₹1349 MRP ₹2999(55% OFF),Maxi,Shoulder Straps,,,,2-3Y,4,No,Cotton,https://www.myntra.com/ethnic-dresses/vastramay/vastramay-floral-printed-anarkali-ethnic-dress--dupatta/24099124/buy
Floral Yoke Design Thread Work Anarkali Dresses,DMP FASHION,₹497,3.9 | 8 Ratings,8 Ratings,₹497 MRP ₹1999(75% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/dmp+fashion/dmp-fashion-floral-yoke-design-thread-work-anarkali-dresses/33342638/buy
Floral Embroidered Thread Work Georgette Fit and Flare Ethnic Dress,KALINI,₹1359,4.2 | 486 Ratings,486 Ratings,₹1359 MRP ₹7999(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-thread-work-georgette-fit-and-flare-ethnic-dress/31209059/buy
Festive Floral Printed Ethnic Dress,Taavi,₹1273,4.5 | 22 Ratings,22 Ratings,₹1273 MRP ₹4899(74% OFF),Midi,V-Neck,,,A-Line,"XS, S, M, L",3,No,"Cotton, Viscose Rayon",https://www.myntra.com/ethnic-dresses/taavi/taavi-festive-floral-printed-ethnic-dress/30093887/buy
Women Plus Size Floral Printed Maxi Ethnic Dress,Souchii,₹2799,,,₹2799 MRP ₹3999(30% OFF),Maxi,,,,Maxi,"XXL, 3XL",4,No,Chiffon,https://www.myntra.com/ethnic-dresses/souchii/souchii-women-plus-size-floral-printed-maxi-ethnic-dress/30843664/buy
Women Floral Printed Flared Midi Dress,anayna,₹1399,4.6 | 960 Ratings,960 Ratings,₹1399 MRP ₹4750(71% OFF),Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-flared-midi-dress/31742105/buy
Floral Printed Ethnic Dress,Krunal Raiyani,₹798,,,₹798 MRP ₹1999(60% OFF),Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218698/buy
Purple Floral Ethnic Maxi Dress,Ethnovog,₹2060,,,₹2060 MRP ₹5732(64% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,XS,4,No,Nylon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-purple-floral-ethnic-maxi-dress/19791570/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹10957,,,₹10957 MRP ₹34999(69% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta/33625268/buy
Floral Printed Maxi Ethnic Dress,AKS Couture,₹1884,4.6 | 25 Ratings,25 Ratings,₹1884 MRP ₹4999(62% OFF),Maxi,Shoulder Straps,,,Maxi,XXL,4,No,Cotton,https://www.myntra.com/ethnic-dresses/aks+couture/aks-couture-floral-printed-maxi-ethnic-dress/24487128/buy
Dabu Floral Printed Cotton Linen Midi Shirt Ethnic Dresses,Taavi,₹1084,4.7 | 30 Ratings,30 Ratings,₹1084 MRP ₹3499(69% OFF),Midi,Shirt Collar,,Regular Sleeves,,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-dabu-floral-printed-cotton-linen-midi-shirt-ethnic-dresses/37948499/buy
Floral Printed Floral Ethnic Dress,Stylum,₹599,4.1 | 12 Ratings,12 Ratings,₹599 MRP ₹2000(Rs. 1401 OFF),Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/stylum/stylum-floral-printed-floral-ethnic-dress/21645000/buy
Floral Printed Tiered Ethnic Dress,Janasya,₹925,4.6 | 18 Ratings,18 Ratings,₹925 MRP ₹3329(72% OFF),Midi,,,,,"XL, XXL, 3XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33477042/buy
Women Green & Maroon Floral Printed Tiered Fit and Flare Dress,Rain & Rainbow,₹1107,4.5 | 948 Ratings,948 Ratings,₹1107 MRP ₹2995(63% OFF),Midi,V-Neck,,,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-women-green--maroon-floral-printed-tiered-fit-and-flare-dress/11357104/buy
Floral Printed Tiered Ethnic A-Line Dresses,Rain & Rainbow,₹930,3.5 | 6 Ratings,6 Ratings,₹930 MRP ₹1995(53% OFF),Above Knee,Mandarin Collar,,,,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-tiered-ethnic-a-line-dresses/37335398/buy
Floral Printed Fit & Flare Maternity Ethnic Dress,Tulsiram,₹549,4.4 | 37 Ratings,37 Ratings,₹549 MRP ₹2499(78% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-fit--flare-maternity-ethnic-dress/34856827/buy
Floral Printed Round Neck Fit & Flare Midi Maternity Ethnic Dress,Pristyle,₹482,4.1 | 84 Ratings,84 Ratings,₹482 MRP ₹2999(84% OFF),Midi,Round Neck,,,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/pristyle/pristyle-floral-printed-round-neck-fit--flare-midi-maternity-ethnic-dress/32267189/buy
Floral Printed Ethnic Dress,Sangria,₹719,3.1 | 14 Ratings,14 Ratings,₹719 MRP ₹2999(76% OFF),Midi,V-Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,No,Polyester,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-ethnic-dress/31624983/buy
Women Floral Printed Ethnic Dress,Bachuu,₹426,3.8 | 35 Ratings,35 Ratings,₹426 MRP ₹1999(79% OFF),Maxi,Round Neck,,Regular Sleeves,A-Line,"S, M",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/bachuu/bachuu-women-floral-printed-ethnic-dress/21503512/buy
Floral Printed Ruffles Fit & Flare Maxi Ethnic Dress,KALINI,₹1300,4.8 | 17 Ratings,17 Ratings,₹1300 MRP ₹7999(84% OFF),Maxi,V-Neck,,Regular Sleeves,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-ruffles-fit--flare-maxi-ethnic-dress/25941226/buy
Pure Cotton Floral Printed V-Neck Tie-Ups Mirror Work A-Line Sanganeri Ethnic Dress,Taavi,₹1536,4.3 | 26 Ratings,26 Ratings,₹1536 MRP ₹5299(71% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-pure-cotton-floral-printed-v-neck-tie-ups-mirror-work-a-line-sanganeri-ethnic-dress/36500138/buy
Floral Embroidered Maxi Pure Cotton Ethnic Dress,Divena,₹1399,4.2 | 50 Ratings,50 Ratings,₹1399 MRP ₹3999(65% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 1399, S
Rs. 1399, M
Rs. 1399, L
Rs. 1399, XL
Rs. 1399, XXL
Rs. 1399, 3XL
Rs. 1528, 5XL
Rs. 1528, 6XL
Rs. 1528",4,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-floral-embroidered-maxi-pure-cotton-ethnic-dress/24825720/buy
Yellow & Pink Floral Embroidered Ethnic Maxi Dress,Ethnovog,₹6339,,,₹6339 MRP ₹12247(48% OFF),Maxi,Round Neck,,,Maxi,"XS, S, XXL",4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-yellow--pink-floral-embroidered-ethnic-maxi-dress/21232980/buy
Maroon & Black Floral Ethnic Maxi Dress,Vishudh,₹395,4.2 | 710 Ratings,710 Ratings,₹395 MRP ₹1799(78% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-maroon--black-floral-ethnic-maxi-dress/15637670/buy
Women Floral Embroidered Ethnic Dress,Sangria,₹1460,,,₹1460 MRP ₹4399(67% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880465/buy
Floral Printed Maternity Ethnic Dress,True Shape,₹684,4.2 | 264 Ratings,264 Ratings,₹684 MRP ₹2699(75% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972976/buy
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,₹495,4.1 | 2.1k Ratings,2.1k Ratings,₹495 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742492/buy
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,₹490,4.1 | 367 Ratings,367 Ratings,₹490 MRP ₹2999(84% OFF),Maxi,V-Neck,,,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183561/buy
Plus Size Floral Print Crepe Layered A-line Maxi Ethnic Dress,A PLUS BY AHALYAA,₹1674,4.1 | 804 Ratings,804 Ratings,₹1674 MRP ₹5600(70% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-print-crepe-layered-a-line-maxi-ethnic-dress/23853060/buy
Green & Pink Cotton Floral Ethnic Dress,GULAB CHAND TRENDS,₹734,4.4 | 367 Ratings,367 Ratings,₹734 MRP ₹2999(76% OFF),Midi,V-Neck,,Regular Sleeves,,XXL,3,No,Cotton,https://www.myntra.com/ethnic-dresses/gulab+chand+trends/gulab-chand-trends-green--pink-cotton-floral-ethnic-dress/20860938/buy
Floral Printed Tiered Fit & Flare Ethnic Dresses,KASYA,₹894,4.6 | 209 Ratings,209 Ratings,₹894 MRP ₹3113(71% OFF),Midi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kasya/kasya-floral-printed-tiered-fit--flare-ethnic-dresses/29407270/buy
White Floral Embroidered Ethnic Dress,KALINI,MRP₹ 3599,4.1 | 24 Ratings,24 Ratings,MRP₹ 3599,Knee Length,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-white-floral-embroidered-ethnic-dress/19041586/buy
Women Floral Zari and Sequinned Embroidered Fit and Flare Dress,Sangria,₹1751,4.2 | 206 Ratings,206 Ratings,₹1751 MRP ₹4799(64% OFF),Maxi,V-Neck,,,Maxi,"XS, M, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-fit-and-flare-dress/26862720/buy
