Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Women Ethnic Motifs Floral Anarkali Ethnic Dress,Stylee LIFESTYLE,₹4391,,,₹4391 MRP ₹13599(68% OFF),Maxi,Round Neck,,Regular Sleeves,,XXL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/stylee+lifestyle/stylee-lifestyle-women-ethnic-motifs-floral-anarkali-ethnic-dress/39986002/buy
Floral Embroidered Sequined Georgette Fit And Flare Ethnic Dress,Fashion Basket,₹1581,,,₹1581 MRP ₹7999(80% OFF),Maxi,,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/fashion+basket/fashion-basket-floral-embroidered-sequined-georgette-fit-and-flare-ethnic-dress/33703783/buy
Floral Printed Fit & Flared Ethnic Dress,Neemiya,₹676,4.3 | 13 Ratings,13 Ratings,₹676 MRP ₹3099(78% OFF),Midi,Mandarin Collar,,,,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/neemiya/neemiya-floral-printed-fit--flared-ethnic-dress/36176072/buy
Floral Printed Maxi Ethnic Dress,ASPORA,₹1598,4.2 | 39 Ratings,39 Ratings,₹1598 MRP ₹4249(62% OFF),Maxi,V-Neck,,,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/aspora/aspora-floral-printed-maxi-ethnic-dress/30484643/buy
Women Floral Printed Anarkali Ethnic Dress,NANERA,₹434,,,₹434 MRP ₹1140(62% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,XL,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649661/buy
Floral Printed Round Neck Gotta Patti Fit and Flare Maternity Ethnic Dress,MURLI KURTI,₹495,4.1 | 2.1k Ratings,2.1k Ratings,₹495 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gotta-patti-fit-and-flare-maternity-ethnic-dress/30742596/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625267/buy
Floral Printed Maternity Anarkali Kurta,RANGEELO JAIPUR,₹455,3.8 | 40 Ratings,40 Ratings,₹455 MRP ₹2999(85% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rangeelo+jaipur/rangeelo-jaipur-floral-printed-maternity-anarkali-kurta/35236566/buy
Black Floral Embroidered Ethnic Maxi Dress,Cherry & Jerry,₹1624,4.2 | 62 Ratings,62 Ratings,₹1624 MRP ₹4999(68% OFF),Maxi,Shoulder Straps,,Regular Sleeves,Maxi,10-11Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/cherry+%26+jerry/cherry--jerry-black-floral-embroidered-ethnic-maxi-dress/20992358/buy
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,₹1022,,,₹1022 MRP ₹3299(69% OFF),Midi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635230/buy
Sanganeri Folk Floral Printed Pure Cotton Ethnic Dress,Taavi,₹1189,4.3 | 54 Ratings,54 Ratings,₹1189 MRP ₹4199(72% OFF),Above Knee,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS
Rs. 1049, S
Rs. 1189, M
Rs. 1189, L
Rs. 1189, XL
Rs. 1189, XXL
Rs. 1189",3,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-sanganeri-folk-floral-printed-pure-cotton-ethnic-dress/30964940/buy
Navy Blue Floral Ethnic Midi Dress,Vishudh,₹437,4.4 | 1.2k Ratings,1.2k Ratings,₹437 MRP ₹1749(75% OFF),Midi,Mandarin Collar,,Regular Sleeves,,"XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-navy-blue-floral-ethnic-midi-dress/17445628/buy
Women Ethnic Motifs Floral Anarkali Ethnic Dress,Stylee LIFESTYLE,₹4328,,,₹4328 MRP ₹13399(68% OFF),Maxi,,,Regular Sleeves,,XXL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/stylee+lifestyle/stylee-lifestyle-women-ethnic-motifs-floral-anarkali-ethnic-dress/39986001/buy
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,₹499,4.1 | 205 Ratings,205 Ratings,₹499 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742453/buy
Women Yellow Floral Printed Floral Anarkali Ethnic Dress,Soch,₹1999,4.2 | 18 Ratings,18 Ratings,₹1999 MRP ₹3998(50% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/soch/soch-women-yellow-floral-printed-floral-anarkali-ethnic-dress/19169110/buy
women pink Floral Ethnic Maxi Dress,PIROH,₹1830,4.4 | 19 Ratings,19 Ratings,₹1830 MRP ₹7199(75% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,M,4,No,Cotton,https://www.myntra.com/ethnic-dresses/piroh/piroh-women-pink-floral-ethnic-maxi-dress/18942918/buy
Floral Printed Tiered Dress,anayna,₹1399,4.5 | 10.1k Ratings,10.1k Ratings,₹1399 MRP ₹3992(65% OFF),Maxi,V-Neck,,,,"XS, S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-tiered-dress/39993324/buy
Women Floral Embellished Green Ethnic Dress,Adwitiya,₹4163,,,₹4163 MRP ₹8519(51% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"M, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/adwitiya/adwitiya-women-floral-embellished-green-ethnic-dress/30866410/buy
Blue Floral Ethnic Shirt Dress,Cloth Haus India,₹2879,,,₹2879 MRP ₹3800(24% OFF),Midi,,,Regular Sleeves,,"S
Rs. 3800, M
Rs. 2879, L
Rs. 2879",4,No,Schiffli,https://www.myntra.com/ethnic-dresses/cloth+haus+india/cloth-haus-india-blue-floral-ethnic-shirt-dress/20910928/buy
Women Blue & White Pure Cotton Floral Print Maxi Dress,Divena,₹894,4.3 | 972 Ratings,972 Ratings,₹894 MRP ₹2599(66% OFF),Maxi,Shoulder Straps,,,Maxi,"XS, S, M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-women-blue--white-pure-cotton-floral-print-maxi-dress/14101554/buy
Floral Printed Pure Cotton Fit & Flare Ethnic Dress,Rain & Rainbow,₹1360,4.5 | 3.1k Ratings,3.1k Ratings,₹1360 MRP ₹3595(62% OFF),Midi,Halter Neck,,,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-ethnic-dress/30557109/buy
Women Silk Maroon Floral Embroidered Ethnic Dress,Sangria,₹1396,4.3 | 129 Ratings,129 Ratings,₹1396 MRP ₹4099(66% OFF),Maxi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL",3,No,"Polyester, Poly Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-silk-maroon-floral-embroidered-ethnic-dress/36880461/buy
Floral Printed Embroidered Gown Ethnic Dress,Rujave,₹882,2.1 | 9 Ratings,9 Ratings,₹882 MRP ₹2999(71% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/rujave/rujave-floral-printed-embroidered-gown-ethnic-dress/32013248/buy
Floral Printed Ethnic Dress,Krunal Raiyani,₹798,,,₹798 MRP ₹1999(60% OFF),Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218697/buy
Girl Floral Embroidered Maxi Ethnic Dress,Inddus,₹1799,4.4 | 8 Ratings,8 Ratings,₹1799 MRP ₹4799(63% OFF),Maxi,Round Neck,,,Maxi,"12Y, 14Y",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girl-floral-embroidered-maxi-ethnic-dress/38623930/buy
Bandhani Floral Printed Fit & Flare Ethnic Dress,Chandbaali,₹1362,3.8 | 29 Ratings,29 Ratings,₹1362 MRP ₹8799(85% OFF),Maxi,Round Neck,,,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-bandhani-floral-printed-fit--flare-ethnic-dress/33063357/buy
Floral Printed Cotton Fit & Flare Ethnic Dress,Anouk,₹596,4 | 34 Ratings,34 Ratings,₹596 MRP ₹1799(67% OFF),Midi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-printed-cotton-fit--flare-ethnic-dress/30742988/buy
Pink Floral Jacquard Ethnic Maxi Dress,White World,₹4898,3.9 | 31 Ratings,31 Ratings,₹4898 MRP ₹4999(2% OFF),Maxi,Round Neck,,,Maxi,7-8Y,4,No,Silk,https://www.myntra.com/ethnic-dresses/white+world/white-world-pink-floral-jacquard-ethnic-maxi-dress/18330258/buy
Floral Embroidered Notch Neck Georgette Ethnic Dresses,Shae by SASSAFRAS,₹1349,4 | 246 Ratings,246 Ratings,₹1349 MRP ₹2999(55% OFF),Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-embroidered-notch-neck-georgette-ethnic-dresses/32741851/buy
Blue Floral Printed Cotton Midi Fit & Flared Dress,GLAM ROOTS,₹675,4.1 | 64 Ratings,64 Ratings,₹675 MRP ₹1999(66% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/glam+roots/glam-roots-blue-floral-printed-cotton-midi-fit--flared-dress/17264432/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹12477,,,₹12477 MRP ₹34999(64% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625272/buy
Floral Print Shoulder Straps Ethnic Dress,Anouk,₹593,4 | 44 Ratings,44 Ratings,₹593 MRP ₹2199(73% OFF),Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anouk/anouk-floral-print-shoulder-straps-ethnic-dress/32467219/buy
Floral Printed Round Neck Tiered Fit & Flare Midi Ethnic Dress,A&K,₹998,4.4 | 110 Ratings,110 Ratings,₹998 MRP ₹2499(60% OFF),Midi,Shoulder Straps,,,,"S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/a%26k/ak-floral-printed-round-neck-tiered-fit--flare-midi-ethnic-dress/32854575/buy
Yellow Floral Embroidered Ethnic Maxi Dress,Sangria,₹818,3.4 | 56 Ratings,56 Ratings,₹818 MRP ₹3499(77% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-yellow-floral-embroidered-ethnic-maxi-dress/19016912/buy
Floral Printed Fit & Flare Midi Ethnic Dresses,Inddus,₹1670,,,₹1670 MRP ₹4499(63% OFF),Midi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-printed-fit--flare-midi-ethnic-dresses/41284917/buy
Pink Floral Printed Maxi Ethnic Dress,Vishudh,₹989,4.2 | 220 Ratings,220 Ratings,₹989 MRP ₹5349(82% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-pink-floral-printed-maxi-ethnic-dress/24585342/buy
Plus Size Floral Printed Fit & Flare Maxi Ethnic Dress,A PLUS BY AHALYAA,₹1509,4.2 | 146 Ratings,146 Ratings,₹1509 MRP ₹6000(75% OFF),Maxi,Round Neck,,,Maxi,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-printed-fit--flare-maxi-ethnic-dress/28392950/buy
Floral Georgette Anarkali Ethnic Dress,KALINI,₹1510,4 | 5 Ratings,5 Ratings,₹1510 MRP ₹6999(78% OFF),Maxi,Round Neck,,Regular Sleeves,,XL,4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-georgette-anarkali-ethnic-dress-/25536252/buy
Floral Embroidered Gathered Sequinned Bell Sleeves Maxi Ethnic Dress,MADHURAM,₹1537,4.5 | 474 Ratings,474 Ratings,₹1537 MRP ₹6999(78% OFF),Maxi,,Three-Quarter Sleeves,,Maxi,"S, L, XL, XXL, 3XL, 4XL",3,No,Satin,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-embroidered-gathered-sequinned-bell-sleeves-maxi-ethnic-dress/25100514/buy
Floral Print Cotton A-Line Midi Ethnic Dress,Sangria,₹949,4.3 | 61 Ratings,61 Ratings,₹949 MRP ₹3799(75% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-midi-ethnic-dress/32330179/buy
Floral Print Maxi Ethnic Dress,SUKRUTI DESIGN,₹4698,,,₹4698 MRP ₹5100(8% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XL, XXL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sukruti+design/sukruti-design-floral-print-maxi-ethnic-dress/30046692/buy
Green & Red Floral Satin Ethnic Maxi Dress,WISHFUL,₹2880,4.1 | 17 Ratings,17 Ratings,₹2880 MRP ₹8999(68% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,XS,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/wishful/wishful-green--red-floral-satin-ethnic-maxi-dress/19822910/buy
Floral Embroidered Sequinned Georgette Fit & Flare Maxi Dress,KALINI,₹1359,4.3 | 100 Ratings,100 Ratings,₹1359 MRP ₹7999(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S
Rs. 1359, M
Rs. 1359, L
Rs. 1525, XL
Rs. 1525, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-sequinned-georgette-fit--flare-maxi-dress/31240672/buy
Women Blue Floral Printed Ethnic Maxi Dress,AURELIA,₹1740,4 | 119 Ratings,119 Ratings,₹1740 MRP ₹2999(42% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/aurelia/aurelia-women-blue-floral-printed-ethnic-maxi-dress/20561812/buy
Relaxed Fit Floral Printed A-Line Pure Cotton Midi Dress,BLACK & BLAH BLAH,₹807,4 | 1.1k Ratings,1.1k Ratings,₹807 MRP ₹3299(76% OFF),Knee Length,V-Neck,Short Sleeves,,A-Line,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/black+%26+blah+blah/black--blah-blah-relaxed-fit-floral-printed-a-line-pure-cotton-midi-dress/27950164/buy
Floral Embroidered Midi Ethnic Dress,Vorcia Febtex,₹382,3.9 | 25 Ratings,25 Ratings,₹382 MRP ₹2499(85% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vorcia+febtex/vorcia-febtex-floral-embroidered-midi-ethnic-dress/32706437/buy
Women Floral Zari and Sequinned Embroidered Maxi Ethnic Dress,Sangria,₹1751,4.2 | 204 Ratings,204 Ratings,₹1751 MRP ₹4799(64% OFF),Maxi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-maxi-ethnic-dress/30931374/buy
Anayna Floral Printed Fit & Flare Ethnic Midi Dress,anayna,₹1304,4.5 | 230 Ratings,230 Ratings,₹1304 MRP ₹4160(69% OFF),Midi,Square Neck,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-fit--flare-ethnic-midi-dress/32630291/buy
Floral Geometric Print Wrap Shape Ethnic Dress,Sangria,₹1055,4 | 7 Ratings,7 Ratings,₹1055 MRP ₹3299(68% OFF),Midi,V-Neck,Short Sleeves,,,"XS, S, M, L, XL, XXL",4,No,Satin,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-geometric-print-wrap-shape-ethnic-dress/36635231/buy
Floral Printed Gotta Patti Angrakha Maxi Ethnic Dress,Shae by SASSAFRAS,₹1439,4.3 | 1.1k Ratings,1.1k Ratings,₹1439 MRP ₹3199(55% OFF),Maxi,,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L, XL, XXL",3,No,Satin,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-gotta-patti-angrakha-maxi-ethnic-dress/25052824/buy
Flared Floral Printed Pleated Ethnic Dress,Sangria,₹1899,4.4 | 7 Ratings,7 Ratings,₹1899 MRP ₹4999(62% OFF),Maxi,Keyhole Neck,,Regular Sleeves,,"S, M",4,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-flared-floral-printed-pleated-ethnic-dress/33593445/buy
